0.3333,0.3333,0.3333,40,-8,2.1,0,50,4.050978752,0,0
0.3333,0.3333,0.3333,40,-8,2.1,0,50,4.050978752,2,0.555523318
0.3333,0.3333,0.3333,40,-8,2.1,0,50,4.050978752,5,0.585333563
0.3333,0.3333,0.3333,40,-8,2.1,0,50,4.050978752,10,0.60261258
0.3333,0.3333,0.3333,40,-8,2.1,0,50,4.050978752,20,0.622028959
0.3333,0.3333,0.3333,40,-8,2.1,0,50,4.050978752,30,0.629133877
0.3333,0.3333,0.3333,40,-8,2.1,0,50,4.050978752,60,0.648850958
0.3333,0.3333,0.3333,40,-8,2.1,0,50,4.050978752,120,0.712581262
0.3333,0.3333,0.3333,40,-8,2.1,0,50,4.050978752,180,0.720078502
0.3333,0.3333,0.3333,40,-8,2.1,0,50,4.050978752,240,0.741848702
0.3333,0.3333,0.3333,60,-8,2.1,0,50,4.050978752,0,0
0.3333,0.3333,0.3333,60,-8,2.1,0,50,4.050978752,2,0.531255383
0.3333,0.3333,0.3333,60,-8,2.1,0,50,4.050978752,5,0.570289256
0.3333,0.3333,0.3333,60,-8,2.1,0,50,4.050978752,10,0.594475284
0.3333,0.3333,0.3333,60,-8,2.1,0,50,4.050978752,20,0.593626504
0.3333,0.3333,0.3333,60,-8,2.1,0,50,4.050978752,30,0.601771096
0.3333,0.3333,0.3333,60,-8,2.1,0,50,4.050978752,60,0.63506649
0.3333,0.3333,0.3333,60,-8,2.1,0,50,4.050978752,120,0.635077609
0.3333,0.3333,0.3333,60,-8,2.1,0,50,4.050978752,180,0.66420716
0.3333,0.3333,0.3333,60,-8,2.1,0,50,4.050978752,240,0.685656306
0.3333,0.3333,0.3333,80,-8,2.1,0,50,4.050978752,0,0
0.3333,0.3333,0.3333,80,-8,2.1,0,50,4.050978752,2,0.764952823
0.3333,0.3333,0.3333,80,-8,2.1,0,50,4.050978752,5,0.799944389
0.3333,0.3333,0.3333,80,-8,2.1,0,50,4.050978752,10,0.822563001
0.3333,0.3333,0.3333,80,-8,2.1,0,50,4.050978752,20,0.871013664
0.3333,0.3333,0.3333,80,-8,2.1,0,50,4.050978752,30,0.88279161
0.3333,0.3333,0.3333,80,-8,2.1,0,50,4.050978752,60,0.892912359
0.3333,0.3333,0.3333,80,-8,2.1,0,50,4.050978752,120,0.890099965
0.3333,0.3333,0.3333,80,-8,2.1,0,50,4.050978752,180,1.025398791
0.3333,0.3333,0.3333,80,-8,2.1,0,50,4.050978752,240,1.13058442
0.3333,0.3333,0.3333,80,-8,2.1,0,100,2.025489376,0,0
0.3333,0.3333,0.3333,80,-8,2.1,0,100,2.025489376,2,0.493169747
0.3333,0.3333,0.3333,80,-8,2.1,0,100,2.025489376,5,0.5767005
0.33333,0.33333,0.33333,80,-8,2.1,0,100,2.025658568,10,0.516396246
0.33333,0.33333,0.33333,80,-8,2.1,0,100,2.025658568,20,0.538978323
0.33333,0.33333,0.33333,80,-8,2.1,0,100,2.025658568,30,0.55403992
0.33333,0.33333,0.33333,80,-8,2.1,0,100,2.025658568,60,0.626345033
0.33333,0.33333,0.33333,80,-8,2.1,0,100,2.025658568,120,0.618719278
0.33333,0.33333,0.33333,80,-8,2.1,0,100,2.025658568,180,0.766823226
0.33333,0.33333,0.33333,80,-8,2.1,0,100,2.025658568,240,0.750506286
0.33333,0.33333,0.33333,80,-8,2.1,0,100,2.025658568,0,0
0.33333,0.33333,0.33333,80,-8,2.1,0,100,2.025658568,1,0.396531386
0.33333,0.33333,0.33333,80,-8,2.1,0,200,1.012829284,2,0.650539199
0.33333,0.33333,0.33333,80,-8,2.1,0,200,1.012829284,5,0.666789966
0.33333,0.33333,0.33333,80,-8,2.1,0,200,1.012829284,10,0.680834843
0.33333,0.33333,0.33333,80,-8,2.1,0,200,1.012829284,20,0.785893573
0.33333,0.33333,0.33333,80,-8,2.1,0,200,1.012829284,30,0.702927416
0.33333,0.33333,0.33333,80,-8,2.1,0,200,1.012829284,60,0.722201617
0.33333,0.33333,0.33333,80,-8,2.1,0,200,1.012829284,120,0.782561225
0.33333,0.33333,0.33333,80,-8,2.1,0,200,1.012829284,180,0.771948183
0.33333,0.33333,0.33333,80,-8,2.1,0,200,1.012829284,0,0
0.33333,0.33333,0.33333,80,-8,2.1,0,200,1.012829284,1,0.641607122
0.33333,0.33333,0.33333,80,-8,2.1,0,200,1.012829284,240,0.721081195
0.33333,0.33333,0.33333,80,-8,1,0,50,1.929198636,2,0.494838988
0.33333,0.33333,0.33333,80,-8,1,0,50,1.929198636,5,0.474501759
0.33333,0.33333,0.33333,80,-8,1,0,50,1.929198636,10,0.501586031
0.33333,0.33333,0.33333,80,-8,1,0,50,1.929198636,20,0.491266526
0.33333,0.33333,0.33333,80,-8,1,0,50,1.929198636,30,0.513467382
0.33333,0.33333,0.33333,80,-8,1,0,50,1.929198636,60,0.5470251
0.33333,0.33333,0.33333,80,-8,1,0,50,1.929198636,120,0.630963337
0.33333,0.33333,0.33333,80,-8,1,0,50,1.929198636,180,0.664323889
0.33333,0.33333,0.33333,80,-8,1,0,50,1.929198636,1,0.443485823
0.33333,0.33333,0.33333,80,-8,1,0,50,1.929198636,0,0
0.33333,0.33333,0.33333,80,-8,1,0,50,1.929198636,240,0.718211137
0.33333,0.33333,0.33333,80,-8,0.5,0,50,0.964599318,2,0.344216124
0.33333,0.33333,0.33333,80,-8,0.5,0,50,0.964599318,5,0.341213348
0.33333,0.33333,0.33333,80,-8,0.5,0,50,0.964599318,10,0.347741665
